itertools; tree_fold1; string/fold1 08 string format; 9740
itertools; tree_fold1; sum/tree fold1 stack 08 sum; 2429
itertools; tree_fold1; complex/tree fold1 stack 08 complex iter; 5296
itertools; tree_fold1; string/tree fold1 stack 08 string format; 10006
itertools; tree_fold1; sum/tree fold1 vec 08 sum; 5020
itertools; tree_fold1; complex/tree fold1 vec 08 complex iter; 7362
itertools; tree_fold1; string/tree fold1 vec 08 string format; 11759
itertools; tuple_combinations; tuple/tuple comb for1; 11300239
itertools; tuple_combinations; tuple/tuple comb for2; 11574543
itertools; tuple_combinations; tuple/tuple comb for3; 12471572
itertools; tuple_combinations; tuple/tuple comb for4; 13583662
itertools; tuple_combinations; tuple/tuple comb c1; 15100294
itertools; tuple_combinations; tuple/tuple comb c2; 28409367
itertools; tuple_combinations; tuple/tuple comb c3; 39711378
itertools; tuple_combinations; tuple/tuple comb c4; 52970073
itertools; tuples; tuples/for chunks 1; 301258
itertools; tuples; tuples/for windows 1; 299957
itertools; tuples; tuples/tuple chunks 1; 265612
itertools; tuples; tuple/slice chunks 1; 281349
itertools; tuples; tuple/tuple windows 1; 184522
itertools; tuples; tuple/slice windows 1; 320376
itertools; tuples; tuples/for chunks 2; 313258
itertools; tuples; tuples/for windows 2; 311633
itertools; tuples; tuples/tuple chunks 2; 488680
itertools; tuples; tuple/slice chunks 2; 293349
itertools; tuples; tuple/tuple windows 2; 246370
itertools; tuples; tuple/slice windows 2; 332044
itertools; tuples; tuples/for chunks 3; 325258
itertools; tuples; tuples/for windows 3; 323285
itertools; tuples; tuples/tuple chunks 3; 715735
itertools; tuples; tuple/slice chunks 3; 305349
itertools; tuples; tuple/tuple windows 3; 301555
itertools; tuples; tuple/slice windows 3; 343688
itertools; tuples; tuples/for chunks 4; 337258
itertools; tuples; tuples/for windows 4; 334913
itertools; tuples; tuples/tuple chunks 4; 935798
itertools; tuples; tuple/slice chunks 4; 317349
itertools; tuples; tuple/tuple windows 4; 345398
itertools; tuples; tuple/slice windows 4; 355308
image; copy_from; copy/copy_from; 2525293060
image; decode; load-Bmp/Core_1_Bit.bmp; 56282740
image; decode; load-Bmp/Core_4_Bit.bmp; 61704826
image; decode; load-Bmp/Core_8_Bit.bmp; 67865141
image; decode; load-Bmp/rgb16.bmp; 10533331
image; decode; load-Bmp/rgb24.bmp; 12223937
image; decode; load-Bmp/rgb32.bmp; 16645250
image; decode; load-Bmp/pal4rle.bmp; 4927082
image; decode; load-Bmp/pal8rle.bmp; 4857230
image; decode; load-Bmp/rgb16-565.bmp; 10536544
image; decode; load-Bmp/rgb32bf.bmp; 10179360
image; decode; load-Gif/alpha_gif_a.gif; 31771691
image; decode; load-Gif/sample_1.gif; 182063
image; decode; load-Hdr/image1.hdr; 19094664
image; decode; load-Hdr/rgbr4x4.hdr; 262333
image; decode; load-Ico/bmp-24bpp-mask.ico; 1785683
image; decode; load-Ico/bmp-32bpp-alpha.ico; 2369309
image; decode; load-Ico/png-32bpp-alpha.ico; 4253935
image; decode; load-Ico/smile.ico; 970848
image; decode; load-Jpeg/3.jpg; 1095898810
image; decode; load-Jpeg/cat.jpg; 171569586
image; decode; load-Jpeg/test.jpg; 4951357
image; decode; load-Tga/cbw8.tga; 14801349
image; decode; load-Tga/ctc24.tga; 33663658
image; decode; load-Tga/ubw8.tga; 2005504
image; decode; load-Tga/utc24.tga; 12606017
image; decode; load-Tiff/hpredict.tiff; 4388098
image; decode; load-Tiff/hpredict_packbits.tiff; 763007
image; decode; load-Tiff/mandrill.tiff; 1948122
image; decode; load-Tiff/rgb-3c-16b.tiff; 9180881
image; encode; encode-bmp/zero-L8-rawvec/100; 4495287
image; encode; encode-bmp/zero-L8-bufvec/100; 2805458
image; encode; encode-bmp/zero-L8-file/100; 2804125
image; encode; encode-bmp/zero-L8-rawvec/200; 17565587
image; encode; encode-bmp/zero-L8-bufvec/200; 10934600
image; encode; encode-bmp/zero-L8-file/200; 10929954
image; encode; encode-bmp/zero-L8-rawvec/400; 69806187
image; encode; encode-bmp/zero-L8-bufvec/400; 43407240
image; encode; encode-bmp/zero-L8-file/400; 43389466
image; encode; encode-bmp/zero-Rgb8-rawvec/100; 5341040
image; encode; encode-bmp/zero-Rgb8-bufvec/100; 3698043
image; encode; encode-bmp/zero-Rgb8-file/100; 3694832
image; encode; encode-bmp/zero-Rgb8-rawvec/200; 21213940
image; encode; encode-bmp/zero-Rgb8-bufvec/200; 14645051
image; encode; encode-bmp/zero-Rgb8-file/200; 14631955
image; encode; encode-bmp/zero-Rgb8-rawvec/400; 84579740
image; encode; encode-bmp/zero-Rgb8-bufvec/400; 58307849
image; encode; encode-bmp/zero-Rgb8-file/400; 58254588
image; encode; encode-bmp/zero-Rgba8-rawvec/100; 5439096
image; encode; encode-bmp/zero-Rgba8-bufvec/100; 3795847
image; encode; encode-bmp/zero-Rgba8-file/100; 3791439
image; encode; encode-bmp/zero-Rgba8-rawvec/200; 21581996
image; encode; encode-bmp/zero-Rgba8-bufvec/200; 15022508
image; encode; encode-bmp/zero-Rgba8-file/200; 15004523
image; encode; encode-bmp/zero-Rgba8-rawvec/400; 86027796
image; encode; encode-bmp/zero-Rgba8-bufvec/400; 59800911
image; encode; encode-bmp/zero-Rgba8-file/400; 59730245
image; encode; encode-jpeg/zero-L8-rawvec/64; 4595434
image; encode; encode-jpeg/zero-L8-bufvec/64; 4586489
image; encode; encode-jpeg/zero-L8-file/64; 4586678
image; encode; encode-jpeg/zero-L8-rawvec/128; 18166155
image; encode; encode-jpeg/zero-L8-bufvec/128; 18133329
image; encode; encode-jpeg/zero-L8-file/128; 18133687
image; encode; encode-jpeg/zero-L8-rawvec/256; 72443006
image; encode; encode-jpeg/zero-L8-bufvec/256; 72315295
image; encode; encode-jpeg/zero-L8-file/256; 72315560
image; encode; encode-jpeg/zero-Rgb8-rawvec/64; 8852424
image; encode; encode-jpeg/zero-Rgb8-bufvec/64; 8831834
image; encode; encode-jpeg/zero-Rgb8-file/64; 8831790
image; encode; encode-jpeg/zero-Rgb8-rawvec/128; 35121380
image; encode; encode-jpeg/zero-Rgb8-bufvec/128; 35045337
image; encode; encode-jpeg/zero-Rgb8-file/128; 35044827
image; encode; encode-jpeg/zero-Rgb8-rawvec/256; 140191360
image; encode; encode-jpeg/zero-Rgb8-bufvec/256; 139894231
image; encode; encode-jpeg/zero-Rgb8-file/256; 139893918
image; encode; encode-jpeg/zero-Rgba8-rawvec/64; 8729387
image; encode; encode-jpeg/zero-Rgba8-bufvec/64; 8709067
image; encode; encode-jpeg/zero-Rgba8-file/64; 8709224
image; encode; encode-jpeg/zero-Rgba8-rawvec/128; 34629640
image; encode; encode-jpeg/zero-Rgba8-bufvec/128; 34553809
image; encode; encode-jpeg/zero-Rgba8-file/128; 34553826
image; encode; encode-jpeg/zero-Rgba8-rawvec/256; 138225305
image; encode; encode-jpeg/zero-Rgba8-bufvec/256; 137928036
image; encode; encode-jpeg/zero-Rgba8-file/256; 137927614
pulldown-cmark; html_rendering; tuple/crdt_total; 27116442
pulldown-cmark; html_rendering; tuple/crdt_html; 14768164
pulldown-cmark; html_rendering; tuple/crdt_all_options_parse; 14787974
pulldown-cmark; html_rendering; tuple/crdt_parse; 13191629
pulldown-cmark; html_rendering; tuple/smart_punctuation; 141824
pulldown-cmark; html_rendering; tuple/links_n_emphasis; 207533
pulldown-cmark; html_rendering; tuple/unescapes; 610619
pulldown-cmark; html_rendering; tuple/autolinks_n_html; 316972
pulldown-cmark; lib; pathological_codeblocks1/1; 51523
pulldown-cmark; lib; pathological_codeblocks1/2; 186112
pulldown-cmark; lib; pathological_codeblocks1/3; 327981
pulldown-cmark; lib; pathological_codeblocks1/4; 505999
pulldown-cmark; lib; pathological_codeblocks1/5; 724120
pulldown-cmark; lib; pathological_codeblocks1/6; 989258
pulldown-cmark; lib; pathological_codeblocks1/7; 1287773
pulldown-cmark; lib; pathological_codeblocks1/8; 1626128
pulldown-cmark; lib; pathological_codeblocks1/9; 2004903
pulldown-cmark; lib; advanced_pathological_codeblocks/2; 82937
pulldown-cmark; lib; advanced_pathological_codeblocks/3; 423517
pulldown-cmark; lib; advanced_pathological_codeblocks/4; 2114383
pulldown-cmark; lib; advanced_pathological_codeblocks/5; 10656044
pulldown-cmark; markdown-it; markdown/inline-autolink.md; 573928
pulldown-cmark; markdown-it; markdown/inline-em-flat.md; 490569
pulldown-cmark; markdown-it; markdown/inline-em-nested.md; 402751
pulldown-cmark; markdown-it; markdown/block-ref-flat.md; 809053
pulldown-cmark; markdown-it; markdown/block-bq-nested.md; 298607
pulldown-cmark; markdown-it; markdown/block-fences.md; 80449
pulldown-cmark; markdown-it; markdown/block-lheading.md; 112693
pulldown-cmark; markdown-it; markdown/block-code.md; 75646
pulldown-cmark; markdown-it; markdown/inline-html.md; 998096
pulldown-cmark; markdown-it; markdown/block-list-nested.md; 842153
pulldown-cmark; markdown-it; markdown/rawtabs.md; 184190
